"stname","clock","crazy","day"
"ahyeon",13,94,"week"
"yangcheonguchong",13,49,"week"
"yeoksam",13,131,"week"
"yeongdeungpoguchong",13,109,"week"
"wangshipri",13,82,"week"
"yongdap",13,32,"week"
"yongdu",13,32,"week"
"eulji4ga",13,45,"week"
"euljiipgu",13,72,"week"
"ewhadae",13,95,"week"
"jamsil",13,83,"week"
"jonghapwoondongjang",13,87,"week"
"chungjeongro",13,96,"week"
"hanyangdae",13,76,"week"
"hapjeong",13,103,"week"
"hongdae",13,98,"week"
"karaksijang",13,19,"week"
"kyeongbokgoong",13,75,"week"
"keongchalhospital",13,12,"week"
"expressterminal",13,107,"week"
"gupabal",13,40,"week"
"geumho",13,102,"week"
"southterminal",13,87,"week"
"nokbeon",13,58,"week"
"daecheong",13,38,"week"
"daechi",13,43,"week"
"dokok",13,48,"week"
"dokripmoon",13,68,"week"
"dongdaeipgu",13,98,"week"
"maebong",13,54,"week"
"mooakjae",13,68,"week"
"boolkwang",13,55,"week"
"suseo",13,27,"week"
"sinsa",13,99,"week"
"ankook",13,86,"week"
"apgujeong",13,100,"week"
"yaksu",13,99,"week"
"yangjae",13,69,"week"
"yeonsinnae",13,45,"week"
"ogum",13,6,"week"
"oksu",13,101,"week"
"ilwon",13,34,"week"
"jamwon",13,101,"week"
"jichook",13,49,"week"
"choongmuro",13,207,"week"
"hakyeowool",13,41,"week"
"hongje",13,64,"week"
"killeum",13,72,"week"
"namtaeryeong",13,114,"week"
"nowon",13,25,"week"
"dangkokae",13,4,"week"
"dongjak",13,72,"week"
"myeongdong",13,89,"week"
"mia",13,63,"week"
"mia4keori",13,67,"week"
"samkakji",13,72,"week"
"sangkye",13,12,"week"
"sungsinyeodae",13,80,"week"
"sooyou",13,57,"week"
"sookmyeong",13,74,"week"
"sinyongsan",13,70,"week"
"ssangmoon",13,49,"week"
"ichon",13,68,"week"
"changdong",13,39,"week"
"chongsindae",13,73,"week"
"hanseongdae",13,85,"week"
"hyehwa",13,93,"week"
"hoihyeon",13,85,"week"
"kyodae",13,239,"week"
"dongdaemon",13,201,"week"
"dongyeoksa",13,163,"week"
"sadang",13,197,"week"
"seoulstation",13,152,"week"
"sichong",13,166,"week"
"sinsuldong",13,102,"week"
"eulji3ga",13,169,"week"
"jongro3ga",13,198,"week"
"dongmyo",14,94,"week"
"jegidong",14,81,"week"
"jongkak",14,90,"week"
"jongro5",14,103,"week"
"cheongryangri",14,68,"week"
"kangnam",14,139,"week"
"kangbyeon",14,79,"week"
"keondae",14,80,"week"
"gurodigital",14,103,"week"
"gooui",14,79,"week"
"kkachisan",14,13,"week"
"nakseongdae",14,118,"week"
"dangsan",14,102,"week"
"daerim",14,107,"week"
"dorimcheon",14,49,"week"
"ttooksum",14,78,"week"
"moonrae",14,108,"week"
"bangbae",14,128,"week"
"bongcheon",14,108,"week"
"samseong",14,95,"week"
"sangwangshipri",14,83,"week"
"seouldaeipgu",14,113,"week"
"seocho",14,132,"week"
"seonreung",14,114,"week"
"seongnae",14,78,"week"
"seongsu",14,81,"week"
"seongsuG",14,16,"week"
"sindap",14,30,"week"
"sindang",14,85,"week"
"sindaebang",14,103,"week"
"sindorim",14,104,"week"
"sindorimG",14,27,"week"
"sinrim",14,105,"week"
"sinjeongnegeori",14,35,"week"
"sincheon",14,87,"week"
"sinchon",14,91,"week"
"ahyeon",14,93,"week"
"yangcheonguchong",14,44,"week"
"yeoksam",14,135,"week"
"yeongdeungpoguchong",14,104,"week"
"wangshipri",14,79,"week"
"yongdap",14,32,"week"
"yongdu",14,30,"week"
"eulji4ga",14,46,"week"
"euljiipgu",14,74,"week"
"ewhadae",14,92,"week"
"jamsil",14,83,"week"
"jonghapwoondongjang",14,89,"week"
"chungjeongro",14,95,"week"
"hanyangdae",14,79,"week"
"hapjeong",14,97,"week"
"hongdae",14,92,"week"
"karaksijang",14,17,"week"
"kyeongbokgoong",14,79,"week"
"keongchalhospital",14,12,"week"
"expressterminal",14,105,"week"
"gupabal",14,37,"week"
"geumho",14,102,"week"
"southterminal",14,85,"week"
"nokbeon",14,59,"week"
"daecheong",14,37,"week"
"daechi",14,42,"week"
"dokok",14,47,"week"
"dokripmoon",14,71,"week"
"dongdaeipgu",14,100,"week"
"maebong",14,51,"week"
"mooakjae",14,67,"week"
"boolkwang",14,54,"week"
"suseo",14,26,"week"
"sinsa",14,100,"week"
"ankook",14,92,"week"
"apgujeong",14,101,"week"
"yaksu",14,100,"week"
"yangjae",14,65,"week"
"yeonsinnae",14,43,"week"
"ogum",14,5,"week"
"oksu",14,102,"week"
"ilwon",14,33,"week"
"jamwon",14,100,"week"
"jichook",14,51,"week"
"choongmuro",14,204,"week"
"hakyeowool",14,39,"week"
"hongje",14,64,"week"
"killeum",14,72,"week"
"namtaeryeong",14,116,"week"
"nowon",14,23,"week"
"dangkokae",14,4,"week"
"dongjak",14,70,"week"
"myeongdong",14,87,"week"
"mia",14,61,"week"
"mia4keori",14,67,"week"
"samkakji",14,71,"week"
"sangkye",14,11,"week"
"sungsinyeodae",14,80,"week"
"sooyou",14,54,"week"
"sookmyeong",14,72,"week"
"sinyongsan",14,73,"week"
"ssangmoon",14,46,"week"
"ichon",14,71,"week"
"changdong",14,37,"week"
"chongsindae",14,68,"week"
"hanseongdae",14,85,"week"
"hyehwa",14,95,"week"
"hoihyeon",14,85,"week"
"kyodae",14,239,"week"
"dongdaemon",14,204,"week"
"dongyeoksa",14,163,"week"
"sadang",14,192,"week"
"seoulstation",14,145,"week"
"sichong",14,166,"week"
"sinsuldong",14,104,"week"
"eulji3ga",14,168,"week"
"jongro3ga",14,201,"week"
"dongmyo",15,102,"week"
"jegidong",15,89,"week"
"jongkak",15,99,"week"
"jongro5",15,112,"week"
"cheongryangri",15,75,"week"
"kangnam",15,150,"week"
"kangbyeon",15,84,"week"
"keondae",15,85,"week"
"gurodigital",15,113,"week"
"gooui",15,85,"week"
"kkachisan",15,13,"week"
"nakseongdae",15,135,"week"
"dangsan",15,109,"week"
"daerim",15,115,"week"
"dorimcheon",15,53,"week"
"ttooksum",15,83,"week"
"moonrae",15,116,"week"
"bangbae",15,148,"week"
"bongcheon",15,123,"week"
"samseong",15,105,"week"
"sangwangshipri",15,91,"week"
"seouldaeipgu",15,130,"week"
"seocho",15,148,"week"
"seonreung",15,125,"week"
"seongnae",15,84,"week"
"seongsu",15,86,"week"
"seongsuG",15,21,"week"
"sindap",15,35,"week"
"sindang",15,90,"week"
"sindaebang",15,111,"week"
"sindorim",15,112,"week"
"sindorimG",15,33,"week"
"sinrim",15,115,"week"
"sinjeongnegeori",15,38,"week"
"sincheon",15,95,"week"
"sinchon",15,102,"week"
"ahyeon",15,103,"week"
"yangcheonguchong",15,47,"week"
"yeoksam",15,145,"week"
"yeongdeungpoguchong",15,112,"week"
"wangshipri",15,86,"week"
"yongdap",15,30,"week"
"yongdu",15,33,"week"
"eulji4ga",15,49,"week"
"euljiipgu",15,82,"week"
"ewhadae",15,103,"week"
"jamsil",15,90,"week"
"jonghapwoondongjang",15,96,"week"
"chungjeongro",15,105,"week"
"hanyangdae",15,86,"week"
"hapjeong",15,106,"week"
"hongdae",15,100,"week"
"karaksijang",15,19,"week"
"kyeongbokgoong",15,87,"week"
"keongchalhospital",15,13,"week"
"expressterminal",15,112,"week"
"gupabal",15,42,"week"
"geumho",15,110,"week"
"southterminal",15,94,"week"
"nokbeon",15,63,"week"
"daecheong",15,41,"week"
"daechi",15,46,"week"
"dokok",15,52,"week"
"dokripmoon",15,76,"week"
"dongdaeipgu",15,109,"week"
"maebong",15,58,"week"
"mooakjae",15,74,"week"
"boolkwang",15,59,"week"
"suseo",15,29,"week"
"sinsa",15,107,"week"
"ankook",15,99,"week"
"apgujeong",15,110,"week"
"yaksu",15,108,"week"
"yangjae",15,74,"week"
"yeonsinnae",15,48,"week"
"ogum",15,5,"week"
"oksu",15,109,"week"
"ilwon",15,37,"week"
"jamwon",15,109,"week"
"jichook",15,55,"week"
"choongmuro",15,224,"week"
"hakyeowool",15,43,"week"
"hongje",15,68,"week"
"killeum",15,76,"week"
"namtaeryeong",15,116,"week"
"nowon",15,26,"week"
"dangkokae",15,4,"week"
"dongjak",15,75,"week"
"myeongdong",15,96,"week"
"mia",15,65,"week"
"mia4keori",15,69,"week"
"samkakji",15,76,"week"
"sangkye",15,12,"week"
"sungsinyeodae",15,87,"week"
"sooyou",15,57,"week"
"sookmyeong",15,78,"week"
"sinyongsan",15,73,"week"
"ssangmoon",15,49,"week"
"ichon",15,71,"week"
"changdong",15,40,"week"
"chongsindae",15,71,"week"
"hanseongdae",15,92,"week"
"hyehwa",15,104,"week"
"hoihyeon",15,92,"week"
"kyodae",15,260,"week"
"dongdaemon",15,222,"week"
"dongyeoksa",15,174,"week"
"sadang",15,211,"week"
"seoulstation",15,157,"week"
"sichong",15,182,"week"
"sinsuldong",15,115,"week"
"eulji3ga",15,183,"week"
"jongro3ga",15,219,"week"
"dongmyo",16,109,"week"
"jegidong",16,96,"week"
"jongkak",16,108,"week"
"jongro5",16,119,"week"
"cheongryangri",16,82,"week"
"kangnam",16,159,"week"
"kangbyeon",16,89,"week"
"keondae",16,88,"week"
"gurodigital",16,123,"week"
"gooui",16,90,"week"
"kkachisan",16,15,"week"
"nakseongdae",16,144,"week"
"dangsan",16,119,"week"
"daerim",16,122,"week"
"dorimcheon",16,63,"week"
"ttooksum",16,88,"week"
"moonrae",16,127,"week"
"bangbae",16,155,"week"
"bongcheon",16,129,"week"
"samseong",16,111,"week"
"sangwangshipri",16,96,"week"
"seouldaeipgu",16,137,"week"
"seocho",16,158,"week"
"seonreung",16,133,"week"
"seongnae",16,87,"week"
"seongsu",16,83,"week"
"seongsuG",16,18,"week"
"sindap",16,38,"week"
"sindang",16,93,"week"
"sindaebang",16,118,"week"
"sindorim",16,98,"week"
"sindorimG",16,44,"week"
"sinrim",16,122,"week"
"sinjeongnegeori",16,46,"week"
"sincheon",16,100,"week"
"sinchon",16,111,"week"
"ahyeon",16,108,"week"
"yangcheonguchong",16,57,"week"
"yeoksam",16,155,"week"
"yeongdeungpoguchong",16,123,"week"
"wangshipri",16,92,"week"
"yongdap",16,44,"week"
"yongdu",16,37,"week"
"eulji4ga",16,53,"week"
"euljiipgu",16,85,"week"
"ewhadae",16,109,"week"
"jamsil",16,93,"week"
"jonghapwoondongjang",16,103,"week"
"chungjeongro",16,111,"week"
"hanyangdae",16,93,"week"
"hapjeong",16,117,"week"
"hongdae",16,108,"week"
"karaksijang",16,23,"week"
"kyeongbokgoong",16,98,"week"
"keongchalhospital",16,17,"week"
"expressterminal",16,119,"week"
"gupabal",16,44,"week"
"geumho",16,118,"week"
"southterminal",16,103,"week"
"nokbeon",16,73,"week"
"daecheong",16,48,"week"
"daechi",16,53,"week"
"dokok",16,59,"week"
"dokripmoon",16,87,"week"
"dongdaeipgu",16,120,"week"
"maebong",16,64,"week"
"mooakjae",16,85,"week"
"boolkwang",16,69,"week"
"suseo",16,33,"week"
"sinsa",16,117,"week"
"ankook",16,111,"week"
"apgujeong",16,119,"week"
"yaksu",16,115,"week"
"yangjae",16,81,"week"
"yeonsinnae",16,54,"week"
"ogum",16,7,"week"
"oksu",16,119,"week"
"ilwon",16,43,"week"
"jamwon",16,117,"week"
"jichook",16,65,"week"
"choongmuro",16,251,"week"
"hakyeowool",16,51,"week"
"hongje",16,81,"week"
"killeum",16,94,"week"
"namtaeryeong",16,150,"week"
"nowon",16,30,"week"
"dangkokae",16,3,"week"
"dongjak",16,85,"week"
"myeongdong",16,108,"week"
"mia",16,78,"week"
"mia4keori",16,84,"week"
"samkakji",16,84,"week"
"sangkye",16,13,"week"
"sungsinyeodae",16,103,"week"
"sooyou",16,69,"week"
"sookmyeong",16,86,"week"
"sinyongsan",16,88,"week"
"ssangmoon",16,58,"week"
"ichon",16,86,"week"
"changdong",16,48,"week"
"chongsindae",16,81,"week"
"hanseongdae",16,111,"week"
"hyehwa",16,121,"week"
"hoihyeon",16,106,"week"
"kyodae",16,282,"week"
"dongdaemon",16,245,"week"
"dongyeoksa",16,194,"week"
"sadang",16,227,"week"
"seoulstation",16,175,"week"
"sichong",16,199,"week"
"sinsuldong",16,119,"week"
"eulji3ga",16,200,"week"
"jongro3ga",16,238,"week"
"dongmyo",17,116,"week"
"jegidong",17,121,"week"
"jongkak",17,111,"week"
"jongro5",17,124,"week"
"cheongryangri",17,111,"week"
"kangnam",17,148,"week"
"kangbyeon",17,84,"week"
"keondae",17,83,"week"
"gurodigital",17,113,"week"
"gooui",17,86,"week"
"kkachisan",17,16,"week"
"nakseongdae",17,132,"week"
"dangsan",17,115,"week"
"daerim",17,115,"week"
"dorimcheon",17,84,"week"
"ttooksum",17,86,"week"
"moonrae",17,125,"week"
"bangbae",17,143,"week"
"bongcheon",17,120,"week"
"samseong",17,112,"week"
"sangwangshipri",17,90,"week"
"seouldaeipgu",17,127,"week"
"seocho",17,145,"week"
"seonreung",17,127,"week"
"seongnae",17,86,"week"
"seongsu",17,76,"week"
"seongsuG",17,30,"week"
"sindap",17,48,"week"
"sindang",17,91,"week"
"sindaebang",17,110,"week"
"sindorim",17,102,"week"
"sindorimG",17,62,"week"
"sinrim",17,111,"week"
"sinjeongnegeori",17,60,"week"
"sincheon",17,99,"week"
"sinchon",17,97,"week"
"ahyeon",17,98,"week"
"yangcheonguchong",17,75,"week"
"yeoksam",17,146,"week"
"yeongdeungpoguchong",17,121,"week"
"wangshipri",17,85,"week"
"yongdap",17,48,"week"
"yongdu",17,41,"week"
"eulji4ga",17,47,"week"
"euljiipgu",17,79,"week"
"ewhadae",17,99,"week"
"jamsil",17,93,"week"
"jonghapwoondongjang",17,101,"week"
"chungjeongro",17,98,"week"
"hanyangdae",17,89,"week"
"hapjeong",17,107,"week"
"hongdae",17,99,"week"
"karaksijang",17,27,"week"
"kyeongbokgoong",17,103,"week"
"keongchalhospital",17,18,"week"
"expressterminal",17,121,"week"
"gupabal",17,50,"week"
"geumho",17,119,"week"
"southterminal",17,111,"week"
"nokbeon",17,73,"week"
"daecheong",17,51,"week"
"daechi",17,57,"week"
"dokok",17,63,"week"
"dokripmoon",17,90,"week"
"dongdaeipgu",17,118,"week"
"maebong",17,70,"week"
"mooakjae",17,87,"week"
"boolkwang",17,68,"week"
"suseo",17,38,"week"
"sinsa",17,118,"week"
"ankook",17,113,"week"
"apgujeong",17,119,"week"
"yaksu",17,115,"week"
"yangjae",17,92,"week"
"yeonsinnae",17,52,"week"
"ogum",17,7,"week"
"oksu",17,117,"week"
"ilwon",17,47,"week"
"jamwon",17,117,"week"
"jichook",17,63,"week"
"choongmuro",17,261,"week"
"hakyeowool",17,54,"week"
"hongje",17,81,"week"
"killeum",17,103,"week"
"namtaeryeong",17,149,"week"
"nowon",17,32,"week"
"dangkokae",17,4,"week"
"dongjak",17,88,"week"
"myeongdong",17,111,"week"
"mia",17,87,"week"
"mia4keori",17,92,"week"
"samkakji",17,86,"week"
"sangkye",17,14,"week"
"sungsinyeodae",17,112,"week"
"sooyou",17,74,"week"
"sookmyeong",17,89,"week"
"sinyongsan",17,83,"week"
"ssangmoon",17,61,"week"
"ichon",17,84,"week"
"changdong",17,49,"week"
"chongsindae",17,84,"week"
"hanseongdae",17,121,"week"
"hyehwa",17,132,"week"
"hoihyeon",17,107,"week"
"kyodae",17,276,"week"
"dongdaemon",17,264,"week"
"dongyeoksa",17,202,"week"
"sadang",17,219,"week"
"seoulstation",17,179,"week"
"sichong",17,188,"week"
"sinsuldong",17,151,"week"
"eulji3ga",17,190,"week"
"jongro3ga",17,241,"week"
"dongmyo",18,152,"week"
"jegidong",18,135,"week"
"jongkak",18,166,"week"
"jongro5",18,178,"week"
"cheongryangri",18,121,"week"
"kangnam",18,234,"week"
"kangbyeon",18,107,"week"
"keondae",18,103,"week"
"gurodigital",18,192,"week"
"gooui",18,108,"week"
"kkachisan",18,20,"week"
"nakseongdae",18,212,"week"
"dangsan",18,179,"week"
"daerim",18,186,"week"
"dorimcheon",18,138,"week"
"ttooksum",18,110,"week"
"moonrae",18,188,"week"
"bangbae",18,229,"week"
"bongcheon",18,188,"week"
"samseong",18,173,"week"
"sangwangshipri",18,123,"week"
"seouldaeipgu",18,194,"week"
"seocho",18,232,"week"
"seonreung",18,201,"week"
"seongnae",18,113,"week"
"seongsu",18,117,"week"
"seongsuG",18,37,"week"
"sindap",18,58,"week"
"sindang",18,121,"week"
"sindaebang",18,178,"week"
"sindorim",18,162,"week"
"sindorimG",18,119,"week"
"sinrim",18,174,"week"
"sinjeongnegeori",18,95,"week"
"sincheon",18,136,"week"
"sinchon",18,147,"week"
"ahyeon",18,152,"week"
"yangcheonguchong",18,124,"week"
"yeoksam",18,234,"week"
"yeongdeungpoguchong",18,184,"week"
"wangshipri",18,111,"week"
"yongdap",18,68,"week"
"yongdu",18,56,"week"
"eulji4ga",18,71,"week"
"euljiipgu",18,128,"week"
"ewhadae",18,151,"week"
"jamsil",18,118,"week"
"jonghapwoondongjang",18,140,"week"
"chungjeongro",18,155,"week"
"hanyangdae",18,114,"week"
"hapjeong",18,163,"week"
"hongdae",18,146,"week"
"karaksijang",18,36,"week"
"kyeongbokgoong",18,141,"week"
"keongchalhospital",18,25,"week"
"expressterminal",18,173,"week"
"gupabal",18,55,"week"
"geumho",18,173,"week"
"southterminal",18,173,"week"
"nokbeon",18,101,"week"
"daecheong",18,66,"week"
"daechi",18,74,"week"
"dokok",18,83,"week"
"dokripmoon",18,126,"week"
"dongdaeipgu",18,171,"week"
"maebong",18,95,"week"
"mooakjae",18,122,"week"
"boolkwang",18,91,"week"
"suseo",18,49,"week"
"sinsa",18,175,"week"
"ankook",18,157,"week"
"apgujeong",18,179,"week"
"yaksu",18,168,"week"
"yangjae",18,141,"week"
"yeonsinnae",18,66,"week"
"ogum",18,8,"week"
"oksu",18,175,"week"
"ilwon",18,59,"week"
"jamwon",18,170,"week"
"jichook",18,101,"week"
"choongmuro",18,336,"week"
"hakyeowool",18,70,"week"
"hongje",18,112,"week"
"killeum",18,121,"week"
"namtaeryeong",18,200,"week"
"nowon",18,33,"week"
"dangkokae",18,3,"week"
"dongjak",18,109,"week"
"myeongdong",18,128,"week"
"mia",18,100,"week"
"mia4keori",18,106,"week"
"samkakji",18,107,"week"
"sangkye",18,13,"week"
"sungsinyeodae",18,137,"week"
"sooyou",18,85,"week"
"sookmyeong",18,108,"week"
"sinyongsan",18,112,"week"
"ssangmoon",18,70,"week"
"ichon",18,105,"week"
"changdong",18,56,"week"
"chongsindae",18,104,"week"
"hanseongdae",18,149,"week"
"hyehwa",18,163,"week"
"hoihyeon",18,127,"week"
"kyodae",18,426,"week"
"dongdaemon",18,339,"week"
"dongyeoksa",18,251,"week"
"sadang",18,318,"week"
"seoulstation",18,254,"week"
"sichong",18,299,"week"
"sinsuldong",18,180,"week"
"eulji3ga",18,295,"week"
"jongro3ga",18,347,"week"
"dongmyo",19,114,"week"
"jegidong",19,109,"week"
"jongkak",19,117,"week"
"jongro5",19,126,"week"
"cheongryangri",19,99,"week"
"kangnam",19,174,"week"
"kangbyeon",19,86,"week"
"keondae",19,79,"week"
"gurodigital",19,145,"week"
"gooui",19,87,"week"
"kkachisan",19,15,"week"
"nakseongdae",19,156,"week"
"dangsan",19,135,"week"
"daerim",19,144,"week"
"dorimcheon",19,136,"week"
"ttooksum",19,86,"week"
"moonrae",19,145,"week"
"bangbae",19,173,"week"
"bongcheon",19,146,"week"
"samseong",19,127,"week"
"sangwangshipri",19,93,"week"
"seouldaeipgu",19,149,"week"
"seocho",19,172,"week"
"seonreung",19,149,"week"
"seongnae",19,91,"week"
"seongsu",19,93,"week"
"seongsuG",19,29,"week"
"sindap",19,43,"week"
"sindang",19,89,"week"
"sindaebang",19,137,"week"
"sindorim",19,119,"week"
"sindorimG",19,109,"week"
"sinrim",19,130,"week"
"sinjeongnegeori",19,90,"week"
"sincheon",19,106,"week"
"sinchon",19,106,"week"
"ahyeon",19,107,"week"
"yangcheonguchong",19,118,"week"
"yeoksam",19,176,"week"
"yeongdeungpoguchong",19,137,"week"
"wangshipri",19,84,"week"
"yongdap",19,42,"week"
"yongdu",19,43,"week"
"eulji4ga",19,51,"week"
"euljiipgu",19,92,"week"
"ewhadae",19,108,"week"
"jamsil",19,93,"week"
"jonghapwoondongjang",19,112,"week"
"chungjeongro",19,109,"week"
"hanyangdae",19,86,"week"
"hapjeong",19,124,"week"
"hongdae",19,108,"week"
"karaksijang",19,32,"week"
"kyeongbokgoong",19,117,"week"
"keongchalhospital",19,20,"week"
"expressterminal",19,141,"week"
"gupabal",19,54,"week"
"geumho",19,143,"week"
"southterminal",19,130,"week"
"nokbeon",19,91,"week"
"daecheong",19,52,"week"
"daechi",19,59,"week"
"dokok",19,66,"week"
"dokripmoon",19,108,"week"
"dongdaeipgu",19,138,"week"
"maebong",19,77,"week"
"mooakjae",19,105,"week"
"boolkwang",19,82,"week"
"suseo",19,41,"week"
"sinsa",19,143,"week"
"ankook",19,127,"week"
"apgujeong",19,150,"week"
"yaksu",19,135,"week"
"yangjae",19,103,"week"
"yeonsinnae",19,59,"week"
"ogum",19,5,"week"
"oksu",19,142,"week"
"ilwon",19,47,"week"
"jamwon",19,134,"week"
"jichook",19,98,"week"
"choongmuro",19,276,"week"
"hakyeowool",19,57,"week"
"hongje",19,99,"week"
"killeum",19,111,"week"
"namtaeryeong",19,162,"week"
"nowon",19,28,"week"
"dangkokae",19,2,"week"
"dongjak",19,87,"week"
"myeongdong",19,104,"week"
"mia",19,90,"week"
"mia4keori",19,97,"week"
"samkakji",19,85,"week"
"sangkye",19,11,"week"
"sungsinyeodae",19,122,"week"
"sooyou",19,73,"week"
"sookmyeong",19,86,"week"
"sinyongsan",19,85,"week"
"ssangmoon",19,59,"week"
"ichon",19,82,"week"
"changdong",19,47,"week"
"chongsindae",19,83,"week"
"hanseongdae",19,130,"week"
"hyehwa",19,141,"week"
"hoihyeon",19,99,"week"
"kyodae",19,332,"week"
"dongdaemon",19,263,"week"
"dongyeoksa",19,201,"week"
"sadang",19,241,"week"
"seoulstation",19,188,"week"
"sichong",19,214,"week"
"sinsuldong",19,129,"week"
"eulji3ga",19,225,"week"
"jongro3ga",19,266,"week"
"dongmyo",20,71,"week"
"jegidong",20,70,"week"
"jongkak",20,78,"week"
"jongro5",20,83,"week"
"cheongryangri",20,65,"week"
"kangnam",20,133,"week"
"kangbyeon",20,65,"week"
"keondae",20,62,"week"
"gurodigital",20,114,"week"
"gooui",20,65,"week"
"kkachisan",20,12,"week"
"nakseongdae",20,125,"week"
"dangsan",20,96,"week"
"daerim",20,117,"week"
"dorimcheon",20,83,"week"
"ttooksum",20,62,"week"
"moonrae",20,105,"week"
"bangbae",20,130,"week"
"bongcheon",20,110,"week"
"samseong",20,95,"week"
"sangwangshipri",20,67,"week"
"seouldaeipgu",20,117,"week"
"seocho",20,130,"week"
"seonreung",20,109,"week"
"seongnae",20,65,"week"
"seongsu",20,74,"week"
"seongsuG",20,21,"week"
"sindap",20,25,"week"
"sindang",20,65,"week"
"sindaebang",20,107,"week"
"sindorim",20,83,"week"
"sindorimG",20,69,"week"
"sinrim",20,102,"week"
"sinjeongnegeori",20,56,"week"
"sincheon",20,78,"week"
"sinchon",20,82,"week"
"ahyeon",20,81,"week"
"yangcheonguchong",20,72,"week"
"yeoksam",20,126,"week"
"yeongdeungpoguchong",20,101,"week"
"wangshipri",20,64,"week"
"yongdap",20,26,"week"
"yongdu",20,27,"week"
"eulji4ga",20,35,"week"
"euljiipgu",20,74,"week"
"ewhadae",20,82,"week"
"jamsil",20,71,"week"
"jonghapwoondongjang",20,82,"week"
"chungjeongro",20,82,"week"
"hanyangdae",20,65,"week"
"hapjeong",20,88,"week"
"hongdae",20,81,"week"
"karaksijang",20,20,"week"
"kyeongbokgoong",20,77,"week"
"keongchalhospital",20,14,"week"
"expressterminal",20,95,"week"
"gupabal",20,36,"week"
"geumho",20,89,"week"
"southterminal",20,86,"week"
"nokbeon",20,59,"week"
"daecheong",20,36,"week"
"daechi",20,41,"week"
"dokok",20,45,"week"
"dokripmoon",20,71,"week"
"dongdaeipgu",20,91,"week"
"maebong",20,52,"week"
"mooakjae",20,70,"week"
"boolkwang",20,55,"week"
"suseo",20,27,"week"
"sinsa",20,91,"week"
"ankook",20,84,"week"
"apgujeong",20,98,"week"
"yaksu",20,85,"week"
"yangjae",20,71,"week"
"yeonsinnae",20,40,"week"
"ogum",20,4,"week"
"oksu",20,89,"week"
"ilwon",20,32,"week"
"jamwon",20,88,"week"
"jichook",20,56,"week"
"choongmuro",20,181,"week"
"hakyeowool",20,39,"week"
"hongje",20,66,"week"
"killeum",20,76,"week"
"namtaeryeong",20,100,"week"
"nowon",20,24,"week"
"dangkokae",20,2,"week"
"dongjak",20,61,"week"
"myeongdong",20,76,"week"
"mia",20,63,"week"
"mia4keori",20,67,"week"
"samkakji",20,60,"week"
"sangkye",20,8,"week"
"sungsinyeodae",20,84,"week"
"sooyou",20,53,"week"
"sookmyeong",20,60,"week"
"sinyongsan",20,62,"week"
"ssangmoon",20,43,"week"
"ichon",20,60,"week"
"changdong",20,36,"week"
"chongsindae",20,59,"week"
"hanseongdae",20,88,"week"
"hyehwa",20,99,"week"
"hoihyeon",20,72,"week"
"kyodae",20,226,"week"
"dongdaemon",20,175,"week"
"dongyeoksa",20,139,"week"
"sadang",20,190,"week"
"seoulstation",20,128,"week"
"sichong",20,149,"week"
"sinsuldong",20,85,"week"
"eulji3ga",20,153,"week"
"jongro3ga",20,170,"week"
"dongmyo",21,79,"week"
"jegidong",21,82,"week"
"jongkak",21,97,"week"
"jongro5",21,96,"week"
"cheongryangri",21,75,"week"
"kangnam",21,166,"week"
"kangbyeon",21,78,"week"
"keondae",21,76,"week"
"gurodigital",21,120,"week"
"gooui",21,78,"week"
"kkachisan",21,12,"week"
"nakseongdae",21,138,"week"
"dangsan",21,117,"week"
"daerim",21,121,"week"
"dorimcheon",21,85,"week"
"ttooksum",21,75,"week"
"moonrae",21,121,"week"
"bangbae",21,151,"week"
"bongcheon",21,124,"week"
"samseong",21,115,"week"
"sangwangshipri",21,85,"week"
"seouldaeipgu",21,129,"week"
"seocho",21,152,"week"
"seonreung",21,129,"week"
"seongnae",21,78,"week"
"seongsu",21,81,"week"
"seongsuG",21,20,"week"
"sindap",21,29,"week"
"sindang",21,84,"week"
"sindaebang",21,119,"week"
"sindorim",21,96,"week"
"sindorimG",21,71,"week"
"sinrim",21,113,"week"
"sinjeongnegeori",21,57,"week"
"sincheon",21,95,"week"
"sinchon",21,111,"week"
"ahyeon",21,105,"week"
"yangcheonguchong",21,73,"week"
"yeoksam",21,152,"week"
"yeongdeungpoguchong",21,119,"week"
"wangshipri",21,78,"week"
"yongdap",21,30,"week"
"yongdu",21,22,"week"
"eulji4ga",21,48,"week"
"euljiipgu",21,94,"week"
"ewhadae",21,107,"week"
"jamsil",21,82,"week"
"jonghapwoondongjang",21,100,"week"
"chungjeongro",21,107,"week"
"hanyangdae",21,79,"week"
"hapjeong",21,111,"week"
"hongdae",21,105,"week"
"karaksijang",21,19,"week"
"kyeongbokgoong",21,82,"week"
"keongchalhospital",21,12,"week"
"expressterminal",21,94,"week"
"gupabal",21,31,"week"
"geumho",21,90,"week"
"southterminal",21,86,"week"
"nokbeon",21,60,"week"
"daecheong",21,35,"week"
"daechi",21,41,"week"
"dokok",21,45,"week"
"dokripmoon",21,75,"week"
"dongdaeipgu",21,90,"week"
"maebong",21,51,"week"
"mooakjae",21,72,"week"
"boolkwang",21,53,"week"
"suseo",21,26,"week"
"sinsa",21,94,"week"
"ankook",21,88,"week"
"apgujeong",21,97,"week"
"yaksu",21,85,"week"
"yangjae",21,69,"week"
