num
100
101
102
105
106
107
1128
1132
1154
121
1213
1218
1222
130
140
141
142
143
144
146
147
148
150
151
152
160
162
163
171
201
2012
2013
2014
2015
2016
202
2221
2222
2227
2233
2311
240
2412
260
261
262
270
271
272
273
301
3011
3012
302
303
320
3214
3219
3314
3317
3318
3319
333
340
341
3411
3412
3413
3417
3418
3422
350
351
360
362
370
400
401
402
405
407
408
420
421
4212
440
441
4412
4419
4432
461
462
470
471
472
500
5012
502
504
506
540
541
5517
5523
5525
5530
5531
5534
5535
5536
5615
5616
5619
5620
5623
5630
571
5714
600
601
602
603
604
605
606
6211
640
641
6411
643
650
651
6511
6512
6514
6515
661
662
6623
6627
6628
6629
6630
6631
6640A
6640B
6641
6657
670
6714
6715
673
700
7017
7019
7022
7025
706
707
710
720
7211
740
750A
750B
751
752
760
7611
7612
771
7720
7722
7730
7733
N40
