num
105
1128
1132
121
1213
1218
1222
144
147
151
152
201
2016
202
2311
260
261
270
271
272
3219
3315
333
340
3412
3413
400
401
402
405
421
4412
4419
461
504
506
5523
5536
5615
5616
5618
5714
602
6211
640
641
6411
6511
6512
6715
701
7013A
7013B
710
720
7211
8442
